State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321,2051.4,7024878.38,22882.34,0.796086957
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300,2051.4,631643.29,2057.47,0.710434783
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84,2051.4,75755.32,246.76,0.238333333
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17,2051.4,1870661.52,6093.36,5238.051739
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57,2051.4,165500.63,539.09,0.420909091
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06,2051.4,1293074.79,4211.97,0.643636364
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10,2051.4,283511.43,923.49,0.465454545
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779,31863,2051.4,8995468.4,29301.2,9.919565217
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718,27033,2051.4,961026.66,3130.38,0.461363636
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62,2051.4,1828786.72,5956.96,0.615652174
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118,2051.4,562930.55,1833.65,4.568947368
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82,2051.4,943515.38,3073.34,0.482352941
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7,2051.4,745371.44,2427.92,2.342608696
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66,2051.4,10306625.49,33572.07,0.520869565
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98,2051.4,7162399.03,23330.29,7.561304348
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64,2051.4,26580219.64,86580.52,0.554782609
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788,2051.4,57802260.86,188280.98,0.780869565
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400,2051.4,16652275.58,54241.94,1.060434783
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300,2051.4,165911859.6,540429.51,0.941304348
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800,2051.4,1500355.05,4887.15,0.487391304
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900,2051.4,998333.3,3251.9,0.473
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991,105082,2051.4,2980534.06,9708.58,41.89695652
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258,45669,2051.4,892694.6,2907.8,3.440434783
